Title,Director,Duration,Actor_1,Actor_2,Actor_3,Gross,Budget,Year
Monster House ,Gil Kenan,91,Steve Buscemi,Jon Heder,Catherine O'Hara,73661010,75000000,2006
Bandits ,Barry Levinson,123,Bruce Willis,Brían F. O'Byrne,Azura Skye,41523271,80000000,2001
First Knight ,Jerry Zucker,134,Julia Ormond,Ben Cross,John Gielgud,37600435,55000000,1995
Anna and the King ,Andy Tennant,148,Bai Ling,Geoffrey Palmer,Randall Duk Kim,39251128,75000000,1999
Immortals ,Tarsem Singh,110,Henry Cavill,Daniel Sharman,Steve Byers,83503161,75000000,2011
Hostage ,Florent-Emilio Siri,113,Jimmy Bennett,Bruce Willis,Ransford Doherty,34636443,52000000,2005
Titan A.E. ,Don Bluth,94,Matt Damon,Janeane Garofalo,Nathan Lane,22751979,75000000,2000
Hollywood Homicide ,Ron Shelton,116,Harrison Ford,Bruce Greenwood,Lena Olin,30013346,75000000,2003
Soldier ,Paul W.S. Anderson,99,Connie Nielsen,Sean Pertwee,Jason Scott Lee,14567883,75000000,1998
Carriers ,David Pastor,84,Christopher Meloni,Kiernan Shipka,Lou Taylor Pucci,90820,,2009
Monkeybone ,Henry Selick,93,Brendan Fraser,Bridget Fonda,Megan Mullally,5409517,75000000,2001
Flight of the Phoenix ,John Moore,113,Dennis Quaid,Tony Curran,Miranda Otto,21009180,45000000,2004
Unbreakable ,M. Night Shyamalan,106,Robin Wright,Bruce Willis,Michael Kelly,94999143,75000000,2000
Minions ,Kyle Balda,91,Steve Carell,Jon Hamm,Steve Coogan,336029560,74000000,2015
Sucker Punch ,Zack Snyder,128,Jon Hamm,Abbie Cornish,Scott Glenn,36381716,82000000,2011
Snake Eyes ,Brian De Palma,98,Nicolas Cage,Mike Starr,John Heard,55585389,69000000,1998
Sphere ,Barry Levinson,134,Peter Coyote,James Pickens Jr.,Huey Lewis,36976367,75000000,1998
The Angry Birds Movie ,Clay Kaytis,97,Peter Dinklage,Josh Gad,Keegan-Michael Key,107225164,73000000,2016
Fool's Gold ,Andy Tennant,112,Matthew McConaughey,Ray Winstone,Alexis Dziena,70224196,70000000,2008
Funny People ,Judd Apatow,153,Adam Sandler,RZA,Maude Apatow,51814190,75000000,2009
The Kingdom ,Peter Berg,110,Jennifer Garner,Frances Fisher,Tim McGraw,47456450,70000000,2007
Talladega Nights: The Ballad of Ricky Bobby ,Adam McKay,122,Will Ferrell,Leslie Bibb,Gary Cole,148213377,73000000,2006
Dr. Dolittle 2 ,Steve Carr,87,Raven-Symoné,Jeffrey Jones,Kevin Pollak,112950721,72000000,2001
Braveheart ,Mel Gibson,178,Mhairi Calvey,Patrick McGoohan,James Robinson,75600000,72000000,1995
Jarhead ,Sam Mendes,125,Jake Gyllenhaal,Brian Geraghty,James Morrison,62647540,70000000,2005
The Simpsons Movie ,David Silverman,87,Albert Brooks,Yeardley Smith,Marcia Wallace,183132370,75000000,2007
The Majestic ,Frank Darabont,152,Martin Landau,Hal Holbrook,Jeffrey DeMunn,27796042,72000000,2001
Driven ,Renny Harlin,116,Sylvester Stallone,Estella Warren,Cristián de la Fuente,32616869,72000000,2001
Two Brothers ,Jean-Jacques Annaud,109,David Gant,Jean-Claude Dreyfus,Oanh Nguyen,18947630,59660000,2004
The Village ,M. Night Shyamalan,108,Bryce Dallas Howard,Judy Greer,William Hurt,114195633,60000000,2004
Doctor Dolittle ,Betty Thomas,85,Oliver Platt,Raven-Symoné,Peter Boyle,144156464,71500000,1998
Signs ,M. Night Shyamalan,106,Rory Culkin,Merritt Wever,Cherry Jones,227965690,72000000,2002
Shrek 2 ,Andrew Adamson,93,Rupert Everett,Jennifer Saunders,Conrad Vernon,436471036,150000000,2004
Cars ,John Lasseter,117,John Ratzenberger,Cheech Marin,George Carlin,244052771,120000000,2006
Runaway Bride ,Garry Marshall,116,Julia Roberts,Christopher Meloni,Hector Elizondo,152149590,70000000,1999
xXx ,Rob Cohen,132,Vin Diesel,Eve,Leila Arcieri,141204016,70000000,2002
The SpongeBob Movie: Sponge Out of Water ,Paul Tibbitt,92,Tim Conway,Billy West,Eddie Deezen,162495848,74000000,2015
Ransom ,Ron Howard,139,Lili Taylor,Delroy Lindo,Rene Russo,136448821,80000000,1996
Inglourious Basterds ,Quentin Tarantino,153,Michael Fassbender,Brad Pitt,Christoph Waltz,120523073,75000000,2009
Hook ,Steven Spielberg,142,Robin Williams,Julia Roberts,Bob Hoskins,119654900,70000000,1991
Hercules ,Brett Ratner,101,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,72660029,100000000,2014
Die Hard 2 ,Renny Harlin,124,Bruce Willis,John Amos,Franco Nero,117541000,70000000,1990
S.W.A.T. ,Clark Johnson,117,Jeremy Renner,Josh Charles,LL Cool J,116643346,80000000,2003
Sleepy Hollow             ,,45,Nicole Beharie,Katia Winter,Lyndie Greenwood,,,
Vanilla Sky ,Cameron Crowe,141,Tom Cruise,Ivana Milicevic,Noah Taylor,100614858,68000000,2001
Lady in the Water ,M. Night Shyamalan,110,Bryce Dallas Howard,Freddy Rodríguez,Bob Balaban,42272747,70000000,2006
AVP: Alien vs. Predator ,Paul W.S. Anderson,109,Sanaa Lathan,Colin Salmon,Raoul Bova,80281096,60000000,2004
Alvin and the Chipmunks: The Squeakquel ,Betty Thomas,88,Amy Poehler,Bridgit Mendler,Jesse McCartney,219613391,75000000,2009
We Were Soldiers ,Randall Wallace,124,Jon Hamm,Marc Blucas,Chris Klein,78120196,75000000,2002
Olympus Has Fallen ,Antoine Fuqua,119,Gerard Butler,Morgan Freeman,Radha Mitchell,98895417,70000000,2013
Star Trek: Insurrection ,Jonathan Frakes,103,LeVar Burton,Jonathan Frakes,Michael Dorn,70117571,58000000,1998
Battle Los Angeles ,Jonathan Liebesman,116,Noel Fisher,Jim Parrack,Ramon Rodriguez,83552429,70000000,2011
Big Fish ,Tim Burton,125,Steve Buscemi,Alison Lohman,Albert Finney,66257002,70000000,2003
Wolf ,Mike Nichols,125,David Hyde Pierce,Peter Gerety,Ron Rifkin,65012000,70000000,1994
War Horse ,Steven Spielberg,146,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,79883359,66000000,2011
The Monuments Men ,George Clooney,118,Bill Murray,Matt Damon,Bob Balaban,78031620,70000000,2014
The Abyss ,James Cameron,171,Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio,54222000,69500000,1989
Wall Street: Money Never Sleeps ,Oliver Stone,136,Frank Langella,Austin Pendleton,John Buffalo Mailer,52474616,70000000,2010
Dracula Untold ,Gary Shore,92,Dominic Cooper,Sarah Gadon,Zach McGowan,55942830,70000000,2014
The Siege ,Edward Zwick,116,Denzel Washington,Bruce Willis,Mark Valley,40932372,70000000,1998
Stardust ,Matthew Vaughn,127,Henry Cavill,David Kelly,Nathaniel Parker,38345403,70000000,2007
Seven Years in Tibet ,Jean-Jacques Annaud,136,Brad Pitt,Mako,Victor Wong,37901509,70000000,1997
The Dilemma ,Ron Howard,111,Channing Tatum,Clint Howard,Chelcie Ross,48430355,70000000,2011
Bad Company ,Joel Schumacher,116,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,30157016,70000000,2002
Doom ,Andrzej Bartkowiak,113,Dwayne Johnson,Ben Daniels,Dexter Fletcher,28031250,60000000,2005
I Spy ,Betty Thomas,97,Gary Cole,Phill Lewis,Tate Taylor,33105600,70000000,2002
Underworld: Awakening ,Måns Mårlind,88,Theo James,Stephen Rea,Sandrine Holt,62321039,70000000,2012
Rock of Ages ,Adam Shankman,136,James Martin Kelly,Shane Hartline,Celina Beach,38509342,75000000,2012
Hart's War ,Gregory Hoblit,125,Bruce Willis,Cole Hauser,Rory Cochrane,19076815,60000000,2002
Killer Elite ,Gary McKendry,116,Jason Statham,Robert De Niro,Ben Mendelsohn,25093607,35000000,2011
Rollerball ,John McTiernan,98,LL Cool J,Chris Klein,Andrew Bryniarski,18990542,70000000,2002
Ballistic: Ecks vs. Sever ,Wych Kaosayananda,91,Talisa Soto,Sandrine Holt,Gregg Henry,14294842,70000000,2002
Hard Rain ,Mikael Salomon,97,Morgan Freeman,Minnie Driver,Randy Quaid,19819494,70000000,1998
Osmosis Jones ,Bobby Farrelly,95,Ron Howard,Brandy Norwood,David Hyde Pierce,13596911,70000000,2001
Legends of Oz: Dorothy's Return ,Will Finn,88,Lea Michele,Oliver Platt,Jim Belushi,8460990,70000000,2013
Blackhat ,Michael Mann,133,Chris Hemsworth,Archie Kao,Brandon Molale,7097125,70000000,2015
Sky Captain and the World of Tomorrow ,Kerry Conran,106,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,37760080,70000000,2004
Basic Instinct 2 ,Michael Caton-Jones,116,Charlotte Rampling,Indira Varma,Neil Maskell,5851188,70000000,2006
Escape Plan ,Mikael Håfström,115,Sylvester Stallone,50 Cent,Matt Gerald,25121291,50000000,2013
The Legend of Hercules ,Renny Harlin,99,Roxanne McKee,Luke Newberry,Gaia Weiss,18821279,70000000,2014
The Sum of All Fears ,Phil Alden Robinson,124,Morgan Freeman,Bruce McGill,Philip Baker Hall,118471320,68000000,2002
The Twilight Saga: Eclipse ,David Slade,124,Robert Pattinson,Kristen Stewart,Anna Kendrick,300523113,68000000,2010
The Score ,Frank Oz,124,Robert De Niro,Marlon Brando,Gary Farmer,71069884,68000000,2001
Despicable Me ,Pierre Coffin,87,Steve Carell,Miranda Cosgrove,Jack McBrayer,251501645,69000000,2010
Money Train ,Joseph Ruben,105,Vincent Pastore,Robert Blake,Aida Turturro,35324232,68000000,1995
Ted 2 ,Seth MacFarlane,125,Liam Neeson,Morgan Freeman,Seth MacFarlane,81257500,68000000,2015
Agora ,Alejandro Amenábar,141,Max Minghella,Ashraf Barhom,Rupert Evans,617840,70000000,2009
Mystery Men ,Kinka Usher,121,Janeane Garofalo,Wes Studi,Eddie Izzard,29655590,65000000,1999
Hall Pass ,Bobby Farrelly,111,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,45045037,36000000,2011
The Insider ,Michael Mann,157,Al Pacino,Rip Torn,Debi Mazar,28965197,68000000,1999
The Finest Hours ,Craig Gillespie,117,Michael Raymond-James,Abraham Benrubi,Graham McTavish,27550735,,2016
Body of Lies ,Ridley Scott,128,Leonardo DiCaprio,Simon McBurney,Michael Gaston,39380442,70000000,2008
Dinner for Schmucks ,Jay Roach,114,Steve Carell,Stephanie Szostak,Bruce Greenwood,72980108,,2010
Abraham Lincoln: Vampire Hunter ,Timur Bekmambetov,105,Rufus Sewell,Dominic Cooper,Benjamin Walker,37516013,69000000,2012
Entrapment ,Jon Amiel,113,Will Patton,Kevin McNally,Maury Chaykin,87704396,66000000,1999
Last Man Standing             ,,30,Hector Elizondo,Kaitlyn Dever,Nancy Travis,,,
The X Files ,Rob Bowman,121,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,83892374,66000000,1998
The Last Legion ,Doug Lefler,102,Colin Firth,Nonso Anozie,Owen Teale,5932060,35000000,2007
Saving Private Ryan ,Steven Spielberg,169,Tom Hanks,Vin Diesel,Matt Damon,216119491,70000000,1998
Need for Speed ,Scott Waugh,132,Rami Malek,Dominic Cooper,Ramon Rodriguez,43568507,66000000,2014
What Women Want ,Nancy Meyers,127,Judy Greer,Lisa Edelstein,Loretta Devine,182805123,70000000,2000
Ice Age ,Chris Wedge,103,Goran Visnjic,Stephen Root,Denis Leary,176387405,59000000,2002
Dreamcatcher ,Lawrence Kasdan,136,Morgan Freeman,Michael O'Neill,Reece Thompson,33685268,68000000,2003
Lincoln ,Steven Spielberg,150,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,182204440,65000000,2012
The Matrix ,Lana Wachowski,136,Keanu Reeves,Marcus Chong,Gloria Foster,171383253,63000000,1999
Apollo 13 ,Ron Howard,140,Tom Hanks,Miko Hughes,Kathleen Quinlan,172071312,62000000,1995
Total Recall ,Paul Verhoeven,113,Ronny Cox,Rachel Ticotin,Marshall Bell,119412921,65000000,1990
The Santa Clause 2 ,Michael Lembeck,104,Judge Reinhold,Aisha Tyler,Eric Lloyd,139225854,60000000,2002
Les Misérables ,Tom Hooper,158,Hugh Jackman,Eddie Redmayne,Anne Hathaway,148775460,61000000,2012
You've Got Mail ,Nora Ephron,119,Tom Hanks,Jean Stapleton,Dave Chappelle,115731542,65000000,1998
Step Brothers ,Adam McKay,106,Will Ferrell,Adam Scott,Andrea Savage,100468793,65000000,2008
The Mask of Zorro ,Martin Campbell,136,Anthony Hopkins,Tony Amendola,Stuart Wilson,93771072,65000000,1998
Due Date ,Todd Phillips,95,Robert Downey Jr.,RZA,Matt Walsh,100448498,65000000,2010
Unbroken ,Angelina Jolie Pitt,137,Finn Wittrock,Jack O'Connell,Alex Russell,115603980,65000000,2014
Space Cowboys ,Clint Eastwood,130,Clint Eastwood,Courtney B. Vance,William Devane,90454043,65000000,2000
Cliffhanger ,Renny Harlin,124,Sylvester Stallone,Leon,Janine Turner,84049211,70000000,1993
Broken Arrow ,John Woo,108,Delroy Lindo,Samantha Mathis,Bob Gunton,70450000,50000000,1996
The Kid ,Jon Turteltaub,104,Bruce Willis,Lily Tomlin,Daniel von Bargen,69688384,60000000,2000
World Trade Center ,Oliver Stone,129,Nicolas Cage,Jay Hernandez,Armando Riesco,70236496,63000000,2006
Mona Lisa Smile ,Mike Newell,117,Julia Roberts,Kirsten Dunst,Marian Seldes,63695760,65000000,2003
The Dictator ,Larry Charles,99,Sayed Badreya,Aasif Mandvi,Horatio Sanz,59617068,65000000,2012
Eyes Wide Shut ,Stanley Kubrick,159,Tom Cruise,Vinessa Shaw,Sydney Pollack,55637680,65000000,1999
Annie ,Will Gluck,118,Quvenzhané Wallis,Dorian Missick,David Zayas,85911262,65000000,2014
Focus ,Glenn Ficarra,105,Will Smith,Adrian Martinez,Gerald McRaney,53846915,50100000,2015
This Means War ,McG,103,Tom Hardy,Abigail Spencer,Warren Christie,54758461,65000000,2012
Blade: Trinity ,David S. Goyer,122,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,52397389,65000000,2004
Red Dawn ,John Milius,114,Lea Thompson,Jennifer Grey,William Smith,,16900000,1984
Primary Colors ,Mike Nichols,143,Maura Tierney,Adrian Lester,Paul Guilfoyle,38966057,65000000,1998
Resident Evil: Retribution ,Paul W.S. Anderson,96,Milla Jovovich,Boris Kodjoe,Bingbing Li,42345531,65000000,2012
Death Race ,Paul W.S. Anderson,111,Jason Statham,Max Ryan,Joan Allen,36064910,45000000,2008
The Long Kiss Goodnight ,Renny Harlin,121,Melina Kanakaredes,Craig Bierko,Yvonne Zima,33328051,65000000,1996
Proof of Life ,Taylor Hackford,135,Pamela Reed,Alun Armstrong,Michael Kitchen,32598931,65000000,2000
Zathura: A Space Adventure ,Jon Favreau,101,Kristen Stewart,Josh Hutcherson,Jonah Bobo,28045540,65000000,2005
Fight Club ,David Fincher,151,Brad Pitt,Meat Loaf,Eugenie Bondurant,37023395,63000000,1999
We Are Marshall ,McG,131,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty,43532294,65000000,2006
The Missing             ,,60,Jason Flemyng,James Nesbitt,Frances O'Connor,,,
Hudson Hawk ,Michael Lehmann,100,Bruce Willis,James Coburn,Richard E. Grant,17218080,70000000,1991
Lucky Numbers ,Nora Ephron,105,Michael Rapaport,Michael Moore,Richard Schiff,10014234,65000000,2000
"I, Frankenstein ",Stuart Beattie,92,Caitlin Stasey,Kevin Grevioux,Miranda Otto,19059018,65000000,2014
Oliver Twist ,Roman Polanski,130,Ian McNeice,Barney Clark,Tony Noble,1987287,50000000,2005
Elektra ,Rob Bowman,100,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,24407944,43000000,2005
Sin City: A Dame to Kill For ,Frank Miller,102,Joseph Gordon-Levitt,Bruce Willis,Eva Green,13750556,65000000,2014
Random Hearts ,Sydney Pollack,133,Harrison Ford,Kristin Scott Thomas,Bill Cobbs,31054924,64000000,1999
Everest ,Baltasar Kormákur,121,Michael Kelly,Martin Henderson,Tom Goodman-Hill,43247140,55000000,2015
Perfume: The Story of a Murderer ,Tom Tykwer,147,Michael Smiley,David Calder,Simon Chandler,2208939,50000000,2006
Austin Powers in Goldmember ,Jay Roach,94,Verne Troyer,Josh Zuckerman,Robert Wagner,213079163,63000000,2002
Astro Boy ,David Bowers,94,Nicolas Cage,Charlize Theron,Dee Bradley Baker,19548064,65000000,2009
Jurassic Park ,Steven Spielberg,127,Wayne Knight,Ariana Richards,Bob Peck,356784000,63000000,1993
Wyatt Earp ,Lawrence Kasdan,212,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,25052000,63000000,1994
Clear and Present Danger ,Phillip Noyce,141,Harrison Ford,Dean Jones,Raymond Cruz,122012710,62000000,1994
Dragon Blade ,Daniel Lee,103,Si Won Choi,Peng Lin,Sung-jun Yoo,72413,65000000,2015
Littleman ,Keenen Ivory Wayans,98,Chazz Palminteri,Brittany Daniel,John Witherspoon,58255287,64000000,2006
U-571 ,Jonathan Mostow,116,Matthew McConaughey,Thomas Kretschmann,David Keith,77086030,62000000,2000
The American President ,Rob Reiner,114,Shawna Waldron,Samantha Mathis,Wendie Malick,65000000,62000000,1995
The Love Guru ,Marco Schnabel,87,Justin Timberlake,Romany Malco,Verne Troyer,32178777,62000000,2008
3000 Miles to Graceland ,Demian Lichtenstein,125,Jon Lovitz,Bokeem Woodbine,Ice-T,15738632,42000000,2001
The Hateful Eight ,Quentin Tarantino,187,Craig Stark,Jennifer Jason Leigh,Zoë Bell,54116191,44000000,2015
Blades of Glory ,Josh Gordon,93,Will Ferrell,Amy Poehler,Jon Heder,118153533,61000000,2007
Hop ,Tim Hill,95,Gary Cole,Elizabeth Perkins,Chelsea Handler,108012170,63000000,2011
300 ,Zack Snyder,117,Gerard Butler,Michael Fassbender,Vincent Regan,210592590,65000000,2006
Meet the Fockers ,Jay Roach,106,Robert De Niro,Blythe Danner,Teri Polo,279167575,80000000,2004
Marley & Me ,David Frankel,115,Eric Dane,Kathleen Turner,Haley Bennett,143151473,60000000,2008
The Green Mile ,Frank Darabont,189,Tom Hanks,Jeffrey DeMunn,Michael Jeter,136801374,60000000,1999
Wild Hogs ,Walt Becker,100,Jill Hennessy,Tichina Arnold,Drew Sidora,168213584,,2007
Chicken Little ,Mark Dindal,81,Catherine O'Hara,Fred Willard,Amy Sedaris,135381507,150000000,2005
Gone Girl ,David Fincher,149,Patrick Fugit,Sela Ward,Emily Ratajkowski,167735396,61000000,2014
The Bourne Identity ,Doug Liman,119,Matt Damon,Josh Hamilton,Nicky Naudé,121468960,60000000,2002
GoldenEye ,Martin Campbell,130,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,106635996,58000000,1995
The General's Daughter ,Simon West,116,Daniel von Bargen,Timothy Hutton,Clarence Williams III,102678089,95000000,1999
The Truman Show ,Peter Weir,103,Natascha McElhone,Noah Emmerich,Peter Krause,125603360,60000000,1998
The Prince of Egypt ,Brenda Chapman,99,Martin Short,Aria Noelle Curzon,Eden Riegel,101217900,70000000,1998
Daddy Day Care ,Steve Carr,92,Anjelica Huston,Lisa Edelstein,Jeff Garlin,104148781,60000000,2003
2 Guns ,Baltasar Kormákur,109,Denzel Washington,Patrick Fischler,Fred Ward,75573300,61000000,2013
Cats & Dogs ,Lawrence Guterman,87,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,93375151,60000000,2001
The Italian Job ,F. Gary Gray,111,Jason Statham,Charlize Theron,Jimmy Shubert,106126012,60000000,2003
Two Weeks Notice ,Marc Lawrence,101,Dorian Missick,Alicia Witt,Dana Ivey,93307796,60000000,2002
Antz ,Eric Darnell,83,Sylvester Stallone,Woody Allen,Anne Bancroft,90646554,105000000,1998
Couples Retreat ,Peter Billingsley,113,Jon Favreau,Kristin Davis,Tasha Smith,109176215,60000000,2009
Days of Thunder ,Tony Scott,107,Tom Cruise,Robert Duvall,Randy Quaid,82670733,60000000,1990
Cheaper by the Dozen 2 ,Adam Shankman,94,Taylor Lautner,Tom Welling,Alyson Stoner,82569532,60000000,2005
The Scorch Trials ,Wes Ball,132,Ki Hong Lee,Lili Taylor,Rosa Salazar,81687587,61000000,2015
Eat Pray Love ,Ryan Murphy,140,James Franco,Julia Roberts,Billy Crudup,80574010,60000000,2010
The Family Man ,Brett Ratner,125,Nicolas Cage,Don Cheadle,Amber Valletta,75764085,60000000,2000
RED ,Robert Schwentke,111,Bruce Willis,Morgan Freeman,Jaqueline Fleming,90356857,58000000,2010
Any Given Sunday ,Oliver Stone,156,Al Pacino,Dennis Quaid,LL Cool J,75530832,55000000,1999
The Horse Whisperer ,Robert Redford,170,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,75370763,60000000,1998
Collateral ,Michael Mann,120,Tom Cruise,Jada Pinkett Smith,Debi Mazar,100003492,65000000,2004
The Scorpion King ,Chuck Russell,100,Dwayne Johnson,Roger Rees,Bernard Hill,90341670,60000000,2002
Ladder 49 ,Jay Russell,115,Billy Burke,Jay Hernandez,Jacinda Barrett,74540762,55000000,2004
Jack Reacher ,Christopher McQuarrie,130,Tom Cruise,Robert Duvall,David Oyelowo,80033643,60000000,2012
Deep Blue Sea ,Renny Harlin,105,LL Cool J,Michael Rapaport,Saffron Burrows,73648142,60000000,1999
This Is It ,Kenny Ortega,111,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,71844424,60000000,2009
Contagion ,Steven Soderbergh,106,Matt Damon,Monique Gabriela Curnen,Griffin Kane,75638743,60000000,2011
Kangaroo Jack ,David McNally,89,Estella Warren,Dyan Cannon,Bill Hunter,66734992,60000000,2003
Coraline ,Henry Selick,100,Jennifer Saunders,Dawn French,John Hodgman,75280058,60000000,2009
The Happening ,M. Night Shyamalan,91,Zooey Deschanel,Alan Ruck,Kristen Connolly,64505912,48000000,2008
Man on Fire ,Tony Scott,146,Denzel Washington,Radha Mitchell,Giancarlo Giannini,77862546,70000000,2004
The Shaggy Dog ,Brian Robbins,98,Robert Downey Jr.,Joel David Moore,Kristin Davis,61112916,50000000,2006
Starsky & Hutch ,Todd Phillips,101,Snoop Dogg,Carmen Electra,Fred Williamson,88200225,60000000,2004
Jingle All the Way ,Brian Levant,94,Jim Belushi,Harvey Korman,Jake Lloyd,60573641,60000000,1996
Hellboy ,Guillermo del Toro,132,James Babson,Rupert Evans,Brian Steele,59035104,66000000,2004
A Civil Action ,Steven Zaillian,115,Robert Duvall,Kathleen Quinlan,Sydney Pollack,56702901,60000000,1998
ParaNorman ,Chris Butler,92,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,55994557,60000000,2012
The Jackal ,Michael Caton-Jones,124,J.K. Simmons,Bruce Willis,Sophie Okonedo,54910560,60000000,1997
Paycheck ,John Woo,119,Ivana Milicevic,Joe Morton,Callum Rennie,53789313,60000000,2003
Up Close & Personal ,Jon Avnet,124,Joe Mantegna,Stockard Channing,Raymond Cruz,51045801,60000000,1996
The Tale of Despereaux ,Sam Fell,93,Emma Watson,Matthew Broderick,Frank Langella,50818750,60000000,2008
Rules of Engagement             ,,22,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,,,
The Tuxedo ,Kevin Donovan,98,Romany Malco,Debi Mazar,Ritchie Coster,50189179,60000000,2002
Under Siege 2: Dark Territory ,Geoff Murphy,92,Peter Greene,Brenda Bakke,Patrick Kilpatrick,50024083,60000000,1995
Jack Ryan: Shadow Recruit ,Kenneth Branagh,105,Colm Feore,Nonso Anozie,Gemma Chan,50549107,60000000,2014
Joy ,David O. Russell,124,Jennifer Lawrence,Robert De Niro,Bradley Cooper,56443482,60000000,2015
London Has Fallen ,Babak Najafi,99,Gerard Butler,Radha Mitchell,Julian Kostov,62401264,60000000,2016
Alien: Resurrection ,Jean-Pierre Jeunet,116,Gary Dourdan,Michael Wincott,Raymond Cruz,47748610,75000000,1997
Shooter ,Antoine Fuqua,124,Tate Donovan,Ned Beatty,Louis Ferreira,46975183,61000000,2007
The Boxtrolls ,Graham Annable,96,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,50807639,60000000,2014
Practical Magic ,Griffin Dunne,104,Goran Visnjic,Dianne Wiest,Stockard Channing,46611204,48000000,1998
The Lego Movie ,Phil Lord,100,Morgan Freeman,Will Ferrell,Alison Brie,257756197,60000000,2014
Miss Congeniality 2: Armed and Fabulous ,John Pasquin,115,Eileen Brennan,Diedrich Bader,Treat Williams,48472213,45000000,2005
Reign of Fire ,Rob Bowman,101,Christian Bale,Gerard Butler,Matthew McConaughey,43060566,60000000,2002
Gangster Squad ,Ruben Fleischer,113,Ryan Gosling,Brandon Molale,Wade Williams,45996718,60000000,2013
Year One ,Harold Ramis,100,Olivia Wilde,Oliver Platt,Xander Berkeley,43337279,60000000,2009
Invictus ,Clint Eastwood,134,Matt Damon,Morgan Freeman,Leleti Khumalo,37479778,60000000,2009
State of Play ,Kevin Macdonald,127,Robin Wright,Harry Lennix,Michael Weston,36965395,,2009
Duplicity ,Tony Gilroy,125,Julia Roberts,Tom Wilkinson,Denis O'Hare,40559930,60000000,2009
My Favorite Martian ,Donald Petrie,94,Steven Anthony Lawrence,Ray Walston,Michael Lerner,36830057,65000000,1999
The Sentinel ,Clark Johnson,107,Blair Brown,David Rasche,Martin Donovan,36279230,60000000,2006
Planet 51 ,Jorge Blanco,91,Dwayne Johnson,Gary Oldman,James Corden,42194060,70000000,2009
Star Trek: Nemesis ,Stuart Baird,116,Tom Hardy,LeVar Burton,Jonathan Frakes,43119879,60000000,2002
Intolerable Cruelty ,Joel Coen,100,Cedric the Entertainer,Paul Adelstein,Julia Duffy,35096190,60000000,2003
Trouble with the Curve ,Robert Lorenz,111,Clint Eastwood,Ed Lauter,Bob Gunton,35754555,,2012
Edge of Darkness ,Martin Campbell,117,Bojana Novakovic,Ray Winstone,Denis O'Hare,43290977,80000000,2010
The Relic ,Peter Hyams,110,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,33927476,40000000,1997
Analyze That ,Harold Ramis,96,Robert De Niro,Cathy Moriarty,Joe Viterelli,32122249,60000000,2002
Righteous Kill ,Jon Avnet,101,Robert De Niro,Al Pacino,50 Cent,40076438,60000000,2008
Mercury Rising ,Harold Becker,111,Bruce Willis,Miko Hughes,Carrie Preston,32940507,60000000,1998
The Soloist ,Joe Wright,117,Robert Downey Jr.,Stephen Root,Rachael Harris,31670931,60000000,2009
The Legend of Bagger Vance ,Robert Redford,126,Matt Damon,Will Smith,Charlize Theron,30695227,60000000,2000
Almost Famous ,Cameron Crowe,152,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,32522352,60000000,2000
Garfield 2 ,Tim Hill,86,Bill Murray,Roger Rees,Ben Falcone,28424210,,2006
xXx: State of the Union ,Lee Tamahori,101,Sunny Mabrey,Nona Gaye,Xzibit,26082914,87000000,2005
Priest ,Scott Stewart,87,Josh Wingate,Alan Dale,Jacob Hopkins,29136626,60000000,2011
Sinbad: Legend of the Seven Seas ,Patrick Gilmore,85,Brad Pitt,Adriano Giannini,Timothy West,26288320,60000000,2003
Event Horizon ,Paul W.S. Anderson,130,Sean Pertwee,Joely Richardson,Kathleen Quinlan,26616590,60000000,1997
The Avengers ,Joss Whedon,173,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,623279547,220000000,2012
Dragonfly ,Tom Shadyac,104,Joe Morton,Susanna Thompson,Matt Craven,30063805,60000000,2002
The Black Dahlia ,Brian De Palma,121,Scarlett Johansson,Mia Kirshner,Mike Starr,22518325,50000000,2006
Flyboys ,Tony Bill,140,James Franco,Tyler Labine,Philip Winchester,13082288,60000000,2006
The Last Castle ,Rod Lurie,131,Clifton Collins Jr.,Delroy Lindo,Michael Irby,18208078,60000000,2001
